project_title,recipients,ad_sector_names,transactions_start_year,total_commitments
Uganda Power Sector Development Project,Uganda,"Government and civil society, general|Energy generation and supply",2007,320142064.535
Social Investment Fund (ZAMSIF),Zambia,"Water supply and sanitation|Education, level unspecified|Health|Transport and storage|Government and civil society, general",2000,82665785.8182
RY-Power Sector,Yemen,Energy generation and supply,2006,54905164.2315
Decentralized Planning and Financing Project,Mozambique,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general",2003,50576926.1801
Protection of Basic Services,Ethiopia,"Water supply and sanitation|Education, level unspecified|Agriculture|Government and civil society, general|Health",2006,236092206.195
Togo Agricultural Sector Support Project,Togo,"Agriculture, forestry, fishing|Agriculture",2011,9000000.0
DRC Urban Development Project FY13,Democratic Republic of Congo,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Transport and storage",2013,103291384.08600001
MAURITANIA: TRANSPORT SECTOR INSTITUTIONAL DEVELOPMENT AND TECHNICAL ASSISTANCE PROJECT,Mauritania,Transport and storage,2008,4697936.12254
Economic Governance & Recovery Grant III,Cote D'Ivoire,"Government and civil society, general|Banking and financial services|Agriculture|Energy generation and supply|Mineral resources and mining",2010,91918582.564
Improving Learning in Primary Schools (LIL),Mali,"Government and civil society, general|Basic education",2000,4855177.52874
DRC Malaria Control Additional Financing to Health Sector Rehab Support,Democratic Republic of Congo,"Health, general|Health",2010,81705406.7235
STP Capacity Building and TA,Sao Tome and Principe,"Government and civil society, general",2004,5856176.17814
Private Sector Rehabilitation and Development Project,Guinea-Bissau,"Water supply and sanitation|Government and civil society, general|Energy generation and supply|Transport and storage",2002,31967952.5702
BI-ERSG II,Burundi,"Agriculture|Government and civil society, general",2008,31319574.1503
EG-National Drainage II Add. Financing,Egypt,"Agriculture|Government and civil society, general",2010,30639527.5213
Road Rehabilitation and Maintenance Second Additional Financing,Zambia,Transport and storage,2010,15319763.7607
Commercial Agriculture and Value Chain Management Project,Gambia,Industry|Agriculture,2014,15920000.0
Poverty Reduction Support Credit (8),Burkina Faso,"Industry|Government and civil society, general|Mineral resources and mining|Energy generation and supply",2008,104398580.501
Yemen: Second Basic Education Development Project,Yemen,"Education, level unspecified|Other social infrastructure and services|Secondary education|Basic education",2013,68172313.4965
Education Sector Support Program,Kenya,"Post-secondary education|Secondary education|Government and civil society, general|Basic education",2006,87848262.7704
Multi-Sector STI/HIV/AIDS Support Project,Niger,"Other social infrastructure and services|Health|Government and civil society, general",2003,30105313.2024
Lagos Eko Secondary Education Project Additional Financing,Nigeria,Secondary education,2014,42300000.0
Mozambique Roads and Bridges Management and Maintenance Project Phase 2 - 2nd Additional Financing,Mozambique,"Government and civil society, general|Transport and storage",2013,40696805.3297
ROAD SECTOR DEVELOPMENT PHASE II PROJECT IN SUPPORT OF RSDPII SUPPLIMENT,Ethiopia,"Government and civil society, general|Transport and storage",2006,95864416.7482
Economic Governance & Institutional Reform-Additional Financing,Liberia,"Communications|Banking and financial services|Government and civil society, general|Energy generation and supply",2011,7000000.0
MAP Additional Financing,Malawi,Health,2009,31048941.9297
GRGC-3 Supplemental Credit,Sierra Leone,"Energy generation and supply|Government and civil society, general",2010,7149223.0883100005
RY-GROUNDWATER & SOIL CONSERVATION ADDITIONAL FINANCING,Yemen,Agriculture,2008,15659787.0751
Eighth Poverty Reduction Support Credit (PRSC8),Mozambique,"Mineral resources and mining|Government and civil society, general",2012,108002808.81899999
Higher Education Science and Technology,Mozambique,Post-secondary education,2010,40852703.3618
Education Sector Reconstruction Project,Burundi,"Post-secondary education|Basic education|Secondary education|Government and civil society, general|Other social infrastructure and services",2007,21342804.3023
"Accountability, Transparency & Integrity Program",Tanzania,"Post-secondary education|Government and civil society, general",2006,43924131.3852
Electricity Services Delivery Project,Benin,"Government and civil society, general|Energy generation and supply",2004,52705585.6033
Zanzibar Basic Education Improvement Project,Tanzania,"Post-secondary education|Secondary education|Government and civil society, general|Basic education",2007,44819889.0349
Energy for Rural Transformation Project,Uganda,"Agriculture, forestry, fishing|Communications|Energy generation and supply|Other social infrastructure and services",2001,61410193.9573
Transport Sector Project - Additional Financing,Burkina Faso,Transport and storage,2010,16341081.3447
Burundi - Emergency Energy Project from IDA CRW,Burundi,Water supply and sanitation|Mineral resources and mining|Energy generation and supply,2010,15728290.7943
Turkey Sustaining Shared Growth DPL,Turkey,"Other social infrastructure and services|Banking and financial services|Government and civil society, general|Energy generation and supply|Transport and storage",2014,500000000.0
Public Service Capacity Building Project,Zambia,"Government and civil society, general",2000,35774992.317
Third Phase Community Based Rural Development Project,Burkina Faso,"Other social infrastructure and services|Agriculture|Agriculture, forestry, fishing",2012,68729060.1577
Emergency Demobilization and Transitional Reintegration Project,Burundi,Other social infrastructure and services,2009,15524470.9648
Nutrition Enhancement Program II,Senegal,"Other social infrastructure and services|Health|Government and civil society, general",2006,16471549.2695
Nigeria Edo State First Development Policy Operation,Nigeria,"Government and civil society, general|Secondary education",2012,73638278.7404
CI: Post-conflict Reconstruction and Recovery Grant (PCRRG),Cote D'Ivoire,"Banking and financial services|Industry|Government and civil society, general|Mineral resources and mining",2011,150000000.0
Burkina Faso Energy Access Project,Burkina Faso,"Government and civil society, general|Energy generation and supply",2007,41405040.3465
AFCC2/RI-Central African Backbone SOP5,Eastern Africa,Communications,2014,92100000.0
CV Road Sector Support Project,Cabo Verde,"Government and civil society, general|Transport and storage",2005,17003791.5848
RURAL FINANCIAL SERVICES PROJECT,Ghana,"Banking and financial services|Government and civil society, general",2000,6554489.663790001
Fourth Export Finance Intermediation Project Add. Fin. (EFIL IV AF),Turkey,"Banking and financial services|Government and civil society, general",2011,300000000.0
IDA Reflow - PSAC I,Tanzania,"Agriculture, forestry, fishing|Transport and storage|Government and civil society, general",2001,962072.21459
Turkey Land Registration and Cadastre Modernization Project,Turkey,"Government and civil society, general",2008,211929118.417
"WAPP APL4 (Phase 1) - C&#244;te d'Ivoire, Sierra Leone, Liberia, and Guinea Power System Re-development",Africa,Energy generation and supply,2012,172804494.11099997
Additional Financing for Private Sector Development and Competitiveness Project,Democratic Republic of Congo,"Banking and financial services|Transport and storage|Government and civil society, general",2008,62639148.3005
Western Kenya CDD and Flood Mitigation Project,Kenya,"Water supply and sanitation|Agriculture, forestry, fishing|Government and civil society, general|Other social infrastructure and services",2007,91774058.5001
URBAN MOBILITY IMPROVEMENT PROJECT,Senegal,"Government and civil society, general|Transport and storage",2000,89437480.7925
Burundi Public Health Laboratory Networking Project,Africa,Health,2012,14727655.7481
CAPE VERDE - Recovery and Reform of the Electricity Sector Project,Cabo Verde,Water supply and sanitation|Energy generation and supply,2012,52528638.8348
Information Infrastructure Sector Development Project,Morocco,Communications|Industry,2001,81213888.2446
Multi-Sectoral HIV/AIDS Project,Benin,"Other social infrastructure and services|Health|Government and civil society, general",2002,28279342.6582
MG - Integrated Growth Poles Additional Financing Credit,Madagascar,"Industry|Government and civil society, general|Transport and storage|Energy generation and supply",2008,41759432.2003
Zambia Copperbelt Environment Project (CEP),Zambia,Mineral resources and mining,2003,48168501.1239
Community Development Project,Madagascar,"Water supply and sanitation|Agriculture, forestry, fishing|Other social infrastructure and services|Government and civil society, general|Education, level unspecified",2001,137438887.799
Water Sector Improvement APL Phase II: Metolong Dam and Water Supply,Lesotho,Water supply and sanitation|Health,2009,25874118.2747
RY-FLOOD PROTECTION AND EMERGENCY RECONSTRUCTION ADDITIONAL FINANCING II,Yemen,Water supply and sanitation|General environmental protection|Transport and storage,2009,36223765.5846
Senegal Safety Net operation,Senegal,Other social infrastructure and services,2014,40500000.0
Liberia Health Systems Reconstruction,Liberia,"Post-secondary education|Health|Government and civil society, general",2007,9070691.8285
Poverty Reduction Support Credit,Mozambique,"Education, level unspecified|Banking and financial services|Health|Government and civil society, general",2004,70274114.1377
Public Sector Management Support Project (02),Sierra Leone,"Health|Government and civil society, general",2001,4373055.52086
Public Resource Management - TA,Sao Tome and Principe,"Government and civil society, general",2000,3194195.74259
CG-Statistics Capacity Building Project,Congo,"Government and civil society, general",2014,4800000.0
HIV/AIDS Support Project 2,Niger,"Health, general|Health|Other social infrastructure and services",2011,20000000.0
Nairobi Metropolitan Services Improvement Project,Kenya,"Water supply and sanitation|Government and civil society, general|Transport and storage",2012,294553114.962
Yemen Health & Population,Yemen,"Communications|Health|Health, general",2011,35000000.0
Arid Lands Resource Management Project Phase Two,Kenya,"Agriculture, forestry, fishing|Agriculture|Other social infrastructure and services",2003,72252751.6858
AGRICULTURAL SUPPORT SERVICES PROJECT,Tunisia,"Industry|Agriculture|Government and civil society, general",2001,26650649.7886
Multi-Sectoral AIDS Project (MAP),Malawi,"Other social infrastructure and services|Health|Government and civil society, general",2003,42147438.4834
MA-National Initiative for Human Development 2,Morocco,"Water supply and sanitation|Education, level unspecified|Government and civil society, general|Other social infrastructure and services",2012,294553114.962
Lake Victoria Environmental Management Project - Supplemental Credit,Uganda,"Water supply and sanitation|Agriculture, forestry, fishing|Agriculture|Government and civil society, general",2002,5532914.86792
Nigeria State Education Sector Project,Nigeria,"Education, level unspecified|Basic education|Secondary education|Government and civil society, general|Post-secondary education",2007,69364113.9826
SL Bumbuna Hydroelectric Environmental and Social Management project,Sierra Leone,"Water supply and sanitation|Education, level unspecified|Government and civil society, general|Transport and storage|Other social infrastructure and services",2005,14169826.3207
Municipal Development Project (03),Tunisia,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general|Transport and storage",2002,96383376.9991
Poverty Reduction Support Credi 5,Senegal,"Other social infrastructure and services|Health|Government and civil society, general|Transport and storage|Education, level unspecified",2011,42000000.0
CEMAC Transport Transit Facilitation - 1st Additional financing Central African Republic and Cameroon,Africa,"Government and civil society, general|Transport and storage",2009,224587346.625
Cultural Heritage Project,Tunisia,"Other social infrastructure and services|Industry|Government and civil society, general",2001,21240555.387000002
Nigeria First Lagos State Development Policy Credit,Nigeria,"Government and civil society, general",2011,200000000.0
Kenya Informal Settlements Improvement Project (KISIP),Kenya,"Water supply and sanitation|Government and civil society, general|Transport and storage",2011,100000000.0
Urban Infrastructure and City Management Project,Rwanda,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general",2005,22671722.1131
RY TAIZ MUNICIPAL DEV & FLOOD PROTEC,Yemen,"Other social infrastructure and services|General environmental protection|Government and civil society, general",2001,56474888.4409
Development of The National Statistical System Project,Kenya,"Post-secondary education|Government and civil society, general",2007,21876374.4099
Nigeria Electricity and Gas Improvement Project (add. financing),Nigeria,Energy generation and supply,2012,98184371.6538
West Africa Agricultural Productivity Program APL (WAAPP-1B),Western Africa,Agriculture,2010,91918582.564
Horn of Africa Emergency Health and Nutrition Project,Africa,Water supply and sanitation|Health,2011,30000000.0
Economic Rehabilitation and Recovery Credit III,Sierra Leone,"Industry|Mineral resources and mining|Government and civil society, general",2003,36126375.8429
MG-Community Develop. Fund/ Additional Financing (FID IV) - Supplemental,Madagascar,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",2006,19765859.1233
Economic Governance and Poverty Reduction Credit,Ghana,"Other social infrastructure and services|Energy generation and supply|Government and civil society, general",2009,310489419.297
Uganda Energy for Rural Transformation IPF Phase2 Additional Financing,Uganda,Energy generation and supply,2013,12394966.0903
Partnership for Polio Eradication Project Supplemental Credit,Nigeria,Health,2005,58606401.6623
Programmatic Structural Adjustment Credit CR.no.3379-TA,Tanzania,"Agriculture, forestry, fishing|Transport and storage|Government and civil society, general",2000,242758876.437
Transforming Irrigation Management in Nigeria,Nigeria,"Water supply and sanitation|Agriculture, forestry, fishing|Agriculture",2014,495300000.0
Africa: CEMAC Transport and Transit Facil - Second Add'l Financing,Africa,Transport and storage,2011,112000000.0
Health Sector Support Project,Guinea,"Health|Government and civil society, general",2005,28339652.6413
Regional and Local Development Project,Jordan,"Water supply and sanitation|Banking and financial services|Transport and storage|Government and civil society, general",2006,21962065.6926
GN-Village Comm Supp Program - Phase 2,Guinea,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general|Agriculture, forestry, fishing",2007,18141383.657
Gas and Oil Capacity Building Project,Ghana,Post-secondary education|Banking and financial services|Energy generation and supply|Secondary education,2010,38810068.1937
"TN-Governance, Opportunities and Jobs DPL-2",Tunisia,"Communications|Banking and financial services|Government and civil society, general|Other social infrastructure and services",2014,250000000.0
Sierra Leone - Reproductive and Child Health II Project - Second Additional Financing,Sierra Leone,"Health, general|Health",2013,13427879.9311
Private Sector Rehabilitation & Agribusiness Development,Guinea-Bissau,"Industry|Government and civil society, general",2014,8200000.0
Second Multisectoral STI/HIV/AIDS Prevention project,Madagascar,Other social infrastructure and services|Health,2005,34007583.1696
Niger Safety Net Project,Niger,Other social infrastructure and services,2011,70000000.0
Emergency Demobilization and Reintegration Project,Angola,Other social infrastructure and services,2003,39739013.4272
eBenin Project,Benin,Communications|Industry,2010,15319763.7607
Cameroon Mining Sector Technical Assistance Project,Cameroon,Energy generation and supply|Mineral resources and mining,2011,30000000.0
MZ PROIRRI Sustainable Irrigation Development,Mozambique,Industry|Agriculture,2011,70000000.0
GH-Economic Management Cap. Bldg. Proj.,Ghana,"Banking and financial services|Government and civil society, general",2005,28339652.6413
POVERTY REDUCTION SUPPORT CREDIT IV,Cabo Verde,"Other social infrastructure and services|Health|Government and civil society, general",2008,10439858.0501
Lusaka Transmission and Distribution Rehabilitation Project,Zambia,Energy generation and supply,2013,108455953.29
Lesotho WSIP2 AF LHWP Ph2 Hydropower,Lesotho,Water supply and sanitation,2014,15440000.0
Central Transport Corridor Project,Tanzania,"Government and civil society, general|Transport and storage",2004,142890698.747
Commercial Agriculture Development,Nigeria,Agriculture|Transport and storage|Energy generation and supply,2009,155244709.648
RCI- Emergency Urban Infrastructure (FY08),Cote D'Ivoire,"Water supply and sanitation|Transport and storage|Government and civil society, general",2008,98134665.6708
Cities and Climate Change,Mozambique,"Water supply and sanitation|Government and civil society, general",2012,117821245.985
Zanzibar Urban Services Project,Tanzania,"Water supply and sanitation|General environmental protection|Government and civil society, general",2011,38000000.0
"Poverty Reduction Support Credit 1 (Health, Water, Energy, Education)",Rwanda,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general",2004,76130290.3158
Second Multisectoral HIV/AIDS Control Project,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general",2007,37349907.5291
TN-MSME Development Project Additional Financing,Tunisia,Banking and financial services,2014,100000000.0
Competitiveness and Enterprise Development Project (CEDP),Uganda,"Industry|Banking and financial services|Government and civil society, general",2013,103291384.08600001
Sustainable Land Management Project,Ethiopia,"Water supply and sanitation|Agriculture, forestry, fishing|Government and civil society, general",2008,20879716.1002
"Ghana - Maternal, Child Health and Nutrition Project",Ghana,"Health, general|Health",2014,68000000.0
"Land Husbandry, Water Harvesting and Hillside Irrigation AF",Rwanda,Industry|Agriculture,2013,36151984.4299
Sierra Leone Mineral Sector Technical Assistance,Sierra Leone,Energy generation and supply,2009,4139858.92396
Water Management and Development Project,Uganda,Forestry|Water supply and sanitation|Agriculture,2012,132548901.733
ET- Road Sector Development Phase 2,Ethiopia,"Government and civil society, general|Transport and storage",2003,152694148.563
Benin Cities Support Project,Benin,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general",2013,61974830.4513
Supplemental to PERAC,Benin,"Education, level unspecified|Health|Government and civil society, general|Transport and storage|Agriculture, forestry, fishing",2002,12295366.3731
Export Development Project (02),Tunisia,"Banking and financial services|Industry|Government and civil society, general",2004,42164468.4826
Cameroon Health Sector Support Investment (SWAP),Cameroon,"Other social infrastructure and services|Health|Government and civil society, general",2008,26099645.1252
Access to Finance for SMEs - Second Additional Financing,Turkey,Banking and financial services,2009,258741182.747
BJ-Youth Employment (FY14),Benin,Other social infrastructure and services|Secondary education,2014,35000000.0
Emergency Monrovia Urban Sanitation Project (EMUS),Liberia,Water supply and sanitation,2009,0.0
Municipal Program,Kenya,"Water supply and sanitation|Transport and storage|Government and civil society, general",2010,102131758.404
Programmatic Public Sector Development Policy Loan (PPDPL),Turkey,"Health, general|Health|Government and civil society, general|Other social infrastructure and services",2006,549051642.315
Additional Financing for the Services Support Credit,Comoros,"Water supply and sanitation|Education, level unspecified|Health|Transport and storage|Other social infrastructure and services",2006,5490516.42315
Community Development and Safety Nets Project Additional Financing,Togo,Other social infrastructure and services,2014,12100000.0
INTERNATIONAL ROAD CORRIDOR REHABILITATION PROJECT,Djibouti,"Health|Transport and storage|Government and civil society, general",2000,19165174.4555
Ethiopia-Road Sector Development Program APL4,Ethiopia,Transport and storage,2009,253566359.092
Ethiopia Protection of Basic Services Phase 2 Project Additional Financing,Ethiopia,"Water supply and sanitation|Education, level unspecified|Health|Transport and storage|Agriculture, forestry, fishing",2011,420000000.0
DRC: Emergency Social Action Project Additional Financing 2,Democratic Republic of Congo,Other social infrastructure and services,2011,6800000.0
RY-RURAL WATER SUPPLY ADD. FINANCING,Yemen,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general",2008,20879716.1002
Additional Financing - Water Services and Institutional Support (WASIS) Project,Mozambique,Water supply and sanitation,2010,37788750.6096
Burundi Fifth Economic Reform Support Grant,Burundi,"Agriculture, forestry, fishing|Government and civil society, general|Energy generation and supply|Mineral resources and mining",2011,35000000.0
Poverty Reduction Support Credit (9),Burkina Faso,"Water supply and sanitation|Agriculture, forestry, fishing|Government and civil society, general|Basic education",2009,103496473.09899999
WARCIP APL 1C - Benin,Africa,Communications,2012,34364530.0788
DRC Multisectoral HIV/AIDS Project,Democratic Republic of Congo,"Other social infrastructure and services|Health|Government and civil society, general",2004,119465994.034
MZ-Energy Development and Access Project (APL-2),Mozambique,Energy generation and supply,2010,81705406.7235
Istanbul Municipal Infrastructure Project,Turkey,"Water supply and sanitation|Other|Government and civil society, general|Transport and storage",2007,343779220.3
Social Safety Net Project,Burkina Faso,Other social infrastructure and services,2014,50000000.0
HIV/AIDS Disaster Response,Burkina Faso,"Other social infrastructure and services|Health|Government and civil society, general",2001,27487777.5597
Higher Education Reform Support II,Tunisia,"Post-secondary education|Government and civil society, general",2006,83455849.6319
GH Third Poverty Reduction Support Credit,Ghana,"Health|Energy generation and supply|Government and civil society, general|Basic education",2005,141698263.20700002
AFCC2/RI-The Eastern Electricity Highway Project under the First Phase of the Eastern Africa Power Integration Program,Eastern Africa,"Government and civil society, general|Energy generation and supply",2012,671581102.112
National Health Dev. Program (Supplemental Credit),Guinea-Bissau,Health,2004,4684940.9425099995
Third Economic Competitiveness Adjustment Loan,Tunisia,"Communications|Banking and financial services|Government and civil society, general",2001,315484719.71900004
Emergency Urban Infrastructure Project (Additional Financing),Cote D'Ivoire,Water supply and sanitation|Transport and storage,2010,51065879.2022
Ethiopia Nutrition (FY08),Ethiopia,"Health|Government and civil society, general",2008,31319574.1503
National Urban Water Sector Reform Project 1,Nigeria,"Water supply and sanitation|Government and civil society, general",2004,140548228.275
eGhana Additional Financing,Ghana,"Communications|Government and civil society, general|Secondary education",2010,45652896.0068
BI - Economic Reform Support Grant (ERSG),Burundi,"Agriculture|Government and civil society, general",2006,65886197.0778
Coastal Region Water Security and Climate Resilience Project,Kenya,"Water supply and sanitation|Agriculture, forestry, fishing",2014,200000000.0
Djibouti Power Access and Diversification Project,Djibouti,Water supply and sanitation|Energy generation and supply,2005,7935102.739569999
Municipal Services Project,Turkey,"Water supply and sanitation|Government and civil society, general",2005,311736179.055
Third Poverty Reduction Strategy Grant,Rwanda,"Water supply and sanitation|Education, level unspecified|Health|Energy generation and supply",2006,54905164.2315
Financial and Legal Sector Technical Assistance Project,Kenya,"Banking and financial services|Government and civil society, general",2004,21082234.2413
DOUALA INFRASTRUCTURE PROJECT,Cameroon,"Government and civil society, general|Transport and storage",2002,69284389.5127
Third Social Action Fund (MASAF III),Malawi,"Water supply and sanitation|Other social infrastructure and services|Banking and financial services|Transport and storage|Agriculture, forestry, fishing",2003,72252751.6858
Pastoral Community Development Project,Ethiopia,"Agriculture, forestry, fishing|Other social infrastructure and services",2003,36126375.8429
Support of ETSIP 1 DPL 2,Namibia,Post-secondary education|Secondary education|Basic education,2008,7829893.537560001
EGYPT-Farm-level Irrigation Modernization,Egypt,Agriculture,2010,102131758.404
CEMAC - Transport-Transit Facilitation,Western Africa,"Government and civil society, general|Transport and storage",2007,214495183.23900002
Economic Management and Private Sector Adjustment Credit Project,Mozambique,"Communications|Banking and financial services|Transport and storage|Government and civil society, general|Mineral resources and mining",2002,147544396.478
National Initiative for Human Development Support Project (INDH),Morocco,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general|Agriculture, forestry, fishing",2006,109810328.463
IRRIGATION BASED COMMUNITY DEVELOPMENT,Morocco,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general|Agriculture, forestry, fishing",2001,40694405.2327
Multi-Sectoral HIV/AIDS Project,Rwanda,"Other social infrastructure and services|Health|Government and civil society, general",2003,36728482.107
Democratic Republic of Congo Transitional Support for Economic Recovery,Democratic Republic of Congo,"Forestry|Education, level unspecified|Health|Government and civil society, general|Mineral resources and mining",2005,102022749.509
SME ENERGY EFFICIENCY,Turkey,Banking and financial services|Energy generation and supply,2013,207615682.012
"Infrastructure, Water and Environment Project",Comoros,"Water supply and sanitation|Government and civil society, general|Transport and storage",2001,14243666.5537
Nigeria Federal Roads Development Project,Nigeria,"Government and civil society, general|Transport and storage",2008,344515315.65300006
Decentralized Service Delivery: A Makerere University Training Pilot Project,Uganda,Post-secondary education|Basic education,2002,6147683.18657
Agriculture and Infrastructure Developmen Project - Additional Financing,Liberia,Transport and storage,2009,16559435.6958
Nigeria Electricity and Gas Improvement Project (NEGIP),Nigeria,Energy generation and supply,2009,206992946.19799998
Lagos Eko Secondary Education Project,Nigeria,"Education, level unspecified|Post-secondary education|Secondary education",2009,98321649.44399999
Supplemental to the Economic Recovery Credit,Rwanda,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general",2000,19548477.9446
Education Quality Improvement Program (EQIP),Tunisia,"Post-secondary education|Basic education|Government and civil society, general|Secondary education",2000,126490151.407
Financial Sector Development Policy Loan II,Egypt,Banking and financial services,2008,521992902.504
Eskom Investment Support Project,South Africa,Energy generation and supply,2010,3829940940.17
Malaria Control Booster Project,Nigeria,"Other social infrastructure and services|Health|Government and civil society, general|Post-secondary education",2006,197658591.23299998
NE - Transp Sector Program Support Project Addit Fin,Niger,Transport and storage,2013,20141819.8967
Primary Education Development Program,Tanzania,Basic education,2001,187416665.18
Basic Education Project,Niger,"Government and civil society, general|Basic education",2003,36126375.8429
Tanzania Poverty Reduction Support Credit 9,Tanzania,"Trade policy and regulations|Government and civil society, general",2012,98184371.6538
RW-First Community Living Standards Grant,Rwanda,Other social infrastructure and services|Health,2009,6209788.38594
TZ First Power and Gas Sector DPO,Tanzania,Mineral resources and mining|Energy generation and supply,2013,103291384.08600001
Debt Relief Grant Under the Enhanced HIPC Initiative,Cameroon,"Transport and storage|Health|Government and civil society, general|Energy generation and supply|Basic education",2006,34590253.4658
Second Health Systems Development,Nigeria,"Health|Government and civil society, general",2002,156163448.305
Solid Waste Sector DPL3,Morocco,"Water supply and sanitation|Government and civil society, general",2013,134278799.311
Irrigation and Watershed Management Project,Madagascar,"Agriculture, forestry, fishing|Industry|Agriculture|Government and civil society, general",2006,32943098.5389
Gas Sector Development Additional Financing,Turkey,Mineral resources and mining,2014,400000000.0
Local Authorities Development Program,Senegal,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general|Transport and storage",2006,87848262.7704
CM-Community Development Program Support Project Phase-II,Cameroon,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Education, level unspecified",2009,41398589.2396
LR-Poverty Reduction Strategy Credit I,Liberia,"Government and civil society, general",2013,10329138.4086
Economic Governance Reform Grant - DPG 2,Guinea-Bissau,"Communications|Government and civil society, general",2010,6127905.504269999
Emergency Drought Recovery Project,Zambia,"Other social infrastructure and services|Agriculture, forestry, fishing|Health|Government and civil society, general|Education, level unspecified",2002,61476831.8657
CV-DPL 4-PRSC VIII,Cabo Verde,"Energy generation and supply|Government and civil society, general|Transport and storage|Secondary education",2014,15500000.0
Sustainability and Competitiveness DPL 3,Seychelles,"Other social infrastructure and services|Agriculture|Government and civil society, general|Energy generation and supply",2014,7000000.0
Kenya Arid Lands Resource Management Project Emergency Additional Financing,Kenya,"Agriculture, forestry, fishing|Agriculture|Other social infrastructure and services",2006,65886197.0778
Gabon Investment Promotion & Competitiveness Project,Gabon,"Banking and financial services|Trade policy and regulations|Government and civil society, general",2014,18000000.0
Transparency and Governance Capacity Building Project,Congo,"Mineral resources and mining|Government and civil society, general",2002,8606756.4612
CAR Emergency Food Crisis Response and Agriculture Relaunch Project,Central African Republic,"Other social infrastructure and services|Agriculture|Agriculture, forestry, fishing",2014,20000000.0
Ghana - West Africa Regional Fisheries Program,Ghana,Agriculture,2011,50300000.0
Niger Growth Policy Reform Grant (Growth DPL-1),Niger,"Agriculture, forestry, fishing|Banking and financial services|Government and civil society, general|Transport and storage",2009,41398589.2396
"Burundi Emergency Demobilization, Reinsertion and Reintegration Program",Burundi,Other social infrastructure and services|Health,2004,38650762.7757
Second Climate Change DPO,Mozambique,"Other social infrastructure and services|Government and civil society, general|Transport and storage|Energy generation and supply|Agriculture",2014,50000000.0
Additional Financing Liberia Electricity System Enhancement Project,Liberia,Energy generation and supply,2012,21600561.7638
Local Development Program Support Project II,Chad,"Water supply and sanitation|Agriculture, forestry, fishing|Banking and financial services|Health|Basic education",2011,25000000.0
Renewable Energy Project,Turkey,"Banking and financial services|Government and civil society, general|Energy generation and supply",2004,236624654.654
Financial Sector Development Policy Loan,Morocco,Banking and financial services,2005,226717221.13099998
EMERGENCY DROUGHT RECOVERY PROJECT,Ethiopia,"Water supply and sanitation|Education, level unspecified|Industry|Other social infrastructure and services|Agriculture, forestry, fishing",2003,72252751.6858
Seventh Poverty Reduction Support Grant,Rwanda,"Education, level unspecified|Banking and financial services|Energy generation and supply|Government and civil society, general|Agriculture, forestry, fishing",2011,104400000.0
Fiscal Restructuring and Deregulation Program Project (03),Malawi,"Education, level unspecified|Communications|Agriculture|Government and civil society, general|Health",2000,70400074.1667
Economic Reform Support Credit (03),Ghana,"Agriculture|Banking and financial services|Health|Government and civil society, general",2001,137438887.799
Second Environmental Sustainability and Energy Sector Development Policy Loan,Turkey,Water supply and sanitation|Forestry|Energy generation and supply,2010,714922308.8310001
Growth Policy Reform Operation II,Niger,"Other social infrastructure and services|Banking and financial services|Agriculture|Government and civil society, general",2011,52000000.0
Municipal Financial Management Technical Assistance Project,South Africa,"Government and civil society, general",2002,18443049.5597
CM-Community Development Program Support Project,Cameroon,"Other social infrastructure and services|Health|Government and civil society, general|Transport and storage|Basic education",2004,23424704.7126
BJ-PRSC 8-Eighth Poverty Reduction Suppo,Benin,"Agriculture, forestry, fishing|Government and civil society, general|Transport and storage",2013,30987415.2257
Burkina Faso - Bagre Growth Pole Project,Burkina Faso,"Agriculture, forestry, fishing|Banking and financial services|Trade policy and regulations|Industry|Government and civil society, general",2011,115000000.0
Poverty Reduction Support Grant (PRSG-8),Ghana,"Mineral resources and mining|Other social infrastructure and services|Banking and financial services|Energy generation and supply|Government and civil society, general",2012,98184371.6538
Ethiopia Geothermal Sector Development Project,Ethiopia,Energy generation and supply,2014,178500000.0
Protection of Basic Services - Additional Financing,Ethiopia,"Water supply and sanitation|Education, level unspecified|Agriculture|Government and civil society, general|Health",2007,229435146.25
Lake Victoria Environmental Management Project Second Supplemental Credit,Tanzania,"Forestry|Water supply and sanitation|Agriculture|Other social infrastructure and services|Agriculture, forestry, fishing",2004,4099323.3247
